person_id	person	family_size	gender	position	personal_income	couple_income	couple_share	property_abroad	total_income	total_share
ccf8c7459133118cd8e04e92d7354c60	Айнбындер М.Я.	2	m	Заместитель начальника ТЮИ МВД	741414.45	1139038.09	65.0912780274	False	1139038.09	65.0912780274
af6c35becad1c2694bd4568447080ae7	Антоненко А.С.	2	m	Заместитель начальника Омской академии МВД	552249.39	858735.4	64.3096103876	False	858735.4	64.3096103876
ca94dab309f75acde46cf6e86c49600e	Абдусаламов А.С.	2	m	Заместитель начальника Суворовского училища МВД России	649669.66	649669.66	100	False	709872.69	91.5191793052
124cbea79400571e10af2ff10247fa2b	Алюбердиев Р.Х.	2	m	Заместитель министра внутренних дел	850213.75	1244111.45	68.3390342561	False	1244111.45	68.3390342561
fa97dc97afa0b4e7cba834e3a3512505	Анищенко В.М.	2	m	Начальник суворовского училища МВД Россия	1606867.17	1654867.17	97.0994650888	False	1654867.17	97.0994650888
4b29c47a831f43229c042a6cc06fa319	Афашагов М.Х.	2	m	Зам министра начальник СУ при МВД Кабардино-Балкарской республики	908760.72	984003.72	92.3533825665	False	984003.72	92.3533825665
bc4347b602489c6edd6906c9897f1fc7	Анохин Ю.В.	2	m	Заместитель начальника по работе с личным составом БЮИ МВД России	1004539.6	1764748.37	56.9225401806	False	1764748.37	56.9225401806
9eea7349458f84e4d2457cf35bdf9e7c	Ариндарчук А.В.	3	m	Заместитель начальника УВД МВД России Комплекса Байконур - начальник МОБ	1389834.05	1389834.05	100	False	1389834.05	100
7deb63456a849a04f8812f4aae0eb874	Агаропева Н.И.	1	f	Заместитель начальника УВД - начальник следственного управления	1059698.38	1059698.38	100	False	1059698.38	100
4e8b418e2758a445219ba485820c5a2d	Алуев О.А.	1	m	Заместитель начальника УВД по Самарской обл.	1030173.35	1030173.35	100	False	1030173.35	100
8fa4455bf52a6668f294e128d353b9bd	Абрамов А.П.	2	m	Заместитель начальника НЦБ Интерпола при МВД России	787556.95	787556.95	100	False	787556.95	100
