name	grbc_code	fks_code	fkr_subcode	csr_code	kvr_code	year2012	year2013	year2014
Њ€Ќ€‘’…ђ‘’‚Ћ ‚Ќ“’ђ…ЌЌ€• „…‹ ђЋ‘‘€‰‘ЉЋ‰ ”…„…ђЂ–€€	188					1К088К624К728,4	915К053К035,4	913К883К971,9
Ћбщегосударственные вопросы	188	01				23К819,5	24К407,9	25К321,1
Њеждународные отношениЯ и международное сотрудничество	188	01	08			23К819,5	24К407,9	25К321,1
Њеждународное сотрудничество	188	01	08	0300000		23К819,5	24К407,9	25К321,1
‚зносы в международные организации	188	01	08	0309800		23К819,5	24К407,9	25К321,1
€ные бюджетные ассигнованиЯ	188	01	08	0309800	800	23К819,5	24К407,9	25К321,1
Џредоставление платежей, взносов, безвозмездных перечислений субъектам международного права	188	01	08	0309800	860	23К819,5	24К407,9	25К321,1
‚зносы в международные организации	188	01	08	0309800	862	23К819,5	24К407,9	25К321,1
ЌациональнаЯ безопасность и правоохранительнаЯ деЯтельность	188	03				852К892К963,7	842К331К285,1	841К055К038,1
Ћрганы внутренних дел	188	03	02			738К417К060,3	724К293К541,9	725К206К470,8
ђуководство и управление в сфере установленных функций	188	03	02	0010000		7К853К552,2	10К190К274,9	10К194К299,1
–ентральный аппарат	188	03	02	0010400		7К178К337,8	9К510К547,9	9К511К263,7
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	0010400	100	7К158К877,4	9К491К082,8	9К491К773,0
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	0010400	130	7К158К877,4	9К491К082,8	9К491К773,0
„енежное довольствие военнослужащих и приравненных к ним лиц	188	03	02	0010400	131	7К140К258,0	9К472К338,0	9К472К338,0
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	0010400	134	18К619,4	18К744,8	19К435,0
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	0010400	200	18К781,0	18К781,0	18К781,0
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	0010400	240	18К781,0	18К781,0	18К781,0
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	0010400	244	18К781,0	18К781,0	18К781,0
€ные бюджетные ассигнованиЯ	188	03	02	0010400	800	679,4	684,1	709,7
“плата налогов, сборов и иных платежей	188	03	02	0010400	850	679,4	684,1	709,7
“плата прочих налогов, сборов и иных платежей	188	03	02	0010400	852	679,4	684,1	709,7
‡арубежный аппарат	188	03	02	0013100		83К810,8	88К423,4	91К731,8
