name;grbc_code;fks_code;fkr_subcode;csr_code;kvr_code;year2012;year2013;year2014
МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;188;;;;;1 088 624 728,4;915 053 035,4;913 883 971,9
Общегосударственные вопросы;188;01;;;;23 819,5;24 407,9;25 321,1
Международные отношения и международное сотрудничество;188;01;08;;;23 819,5;24 407,9;25 321,1
Международное сотрудничество;188;01;08;0300000;;23 819,5;24 407,9;25 321,1
Взносы в международные организации;188;01;08;0309800;;23 819,5;24 407,9;25 321,1
Иные бюджетные ассигнования;188;01;08;0309800;800;23 819,5;24 407,9;25 321,1
Предоставление платежей, взносов, безвозмездных перечислений субъектам международного права;188;01;08;0309800;860;23 819,5;24 407,9;25 321,1
Взносы в международные организации;188;01;08;0309800;862;23 819,5;24 407,9;25 321,1
Национальная безопасность и правоохранительная деятельность;188;03;;;;852 892 963,7;842 331 285,1;841 055 038,1
Органы внутренних дел;188;03;02;;;738 417 060,3;724 293 541,9;725 206 470,8
Руководство и управление в сфере установленных функций;188;03;02;0010000;;7 853 552,2;10 190 274,9;10 194 299,1
Центральный аппарат;188;03;02;0010400;;7 178 337,8;9 510 547,9;9 511 263,7
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;0010400;100;7 158 877,4;9 491 082,8;9 491 773,0
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;0010400;130;7 158 877,4;9 491 082,8;9 491 773,0
Денежное довольствие военнослужащих и приравненных к ним лиц;188;03;02;0010400;131;7 140 258,0;9 472 338,0;9 472 338,0
Иные выплаты персоналу, за исключением денежного довольствия;188;03;02;0010400;134;18 619,4;18 744,8;19 435,0
Закупка товаров, работ и услуг для государственных нужд;188;03;02;0010400;200;18 781,0;18 781,0;18 781,0
Иные закупки товаров, работ и услуг для государственных нужд;188;03;02;0010400;240;18 781,0;18 781,0;18 781,0
Прочая закупка товаров, работ и услуг для государственных нужд;188;03;02;0010400;244;18 781,0;18 781,0;18 781,0
Иные бюджетные ассигнования;188;03;02;0010400;800;679,4;684,1;709,7
Уплата налогов, сборов и иных платежей;188;03;02;0010400;850;679,4;684,1;709,7
Уплата прочих налогов, сборов и иных платежей;188;03;02;0010400;852;679,4;684,1;709,7
Зарубежный аппарат;188;03;02;0013100;;83 810,8;88 423,4;91 731,8
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными органами, казенными учреждениями, органами управления государственными внебюджетными фондами;188;03;02;0013100;100;67 424,2;71 924,5;74 615,4
Расходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деятельности и обороны;188;03;02;0013100;130;67 424,2;71 924,5;74 615,4
Денежное довольствие военнослужащих и приравненных к ним лиц;188;03;02;0013100;131;40 503,5;44 820,4;46 497,3
Иные выплаты персоналу, за исключением денежного довольствия;188;03;02;0013100;134;26 920,7;27 104,1;28 118,1
Закупка товаров, работ и услуг для государственных нужд;188;03;02;0013100;200;16 386,6;16 498,9;17 116,4
Иные закупки товаров, работ и услуг для государственных нужд;188;03;02;0013100;240;16 386,6;16 498,9;17 116,4
Прочая закупка товаров, работ и услуг для государственных нужд;188;03;02;0013100;244;16 386,6;16 498,9;17 116,4
Функционирование Вооруженных Сил Российской Федерации, органов в сфере национальной безопасности и правоохранительной деятельности, войск и иных воинских формирований;188;03;02;0016700;;591 403,6;591 303,6;591 303,6
