year	month	reg_name	ind_bribery	ind_robbery	ind_rape	ind_steal	ind_drugs	ind_peculation	ind_brigadary	ind_death	ind_harm	ind_ruffian
2009	1	ЦЕНТРАЛЬНЫЙ ФО	1.78	10.76	0.23	51.91	10.64	7.38	2.06	0.87	2.27	0.68
2009	1	Белгородская область	2.09	4.28	0.13	33.51	15.4	35.45	0.46	0.26	1.32	0.66
2009	1	Брянская область	2.71	6.95	0.15	47.84	14.21	17.05	1.22	0.69	2.9	0.08
2009	1	Владимирская область	0.96	11.18	0.0	64.3	7.73	6.67	1.93	0.69	2.0	0.69
2009	1	Воронежская область	2.64	6.8	0.09	42.71	9.38	5.64	1.45	0.66	1.93	0.22
2009	1	Город Москва столица Российской Федерации город федерального значения	2.15	15.42	0.15	57.98	9.93	2.28	2.93	0.63	1.74	0.96
2009	1	Ивановская область	2.9	13.43	0.19	55.76	11.49	5.8	2.22	1.39	3.61	0.28
2009	1	Калужская область	1.85	7.26	0.8	57.57	7.56	18.66	2.19	1.49	2.59	0.1
2009	1	Костромская область	0.51	6.17	0.14	44.9	11.76	9.28	1.58	0.57	3.44	0.57
2009	1	Курская область	2.52	6.62	0.17	55.83	11.61	11.1	0.52	0.86	2.67	0.09
2009	1	Липецкая область	2.2	9.15	0.17	42.61	6.67	12.13	0.68	1.28	1.71	0.68
2009	1	Московская область	0.9	10.49	0.34	50.88	11.31	5.26	2.64	1.03	2.77	0.82
2009	1	Орловская область	1.71	4.87	0.49	51.71	10.95	7.12	1.09	0.49	1.46	0.97
2009	1	Рязанская область	0.89	4.12	0.0	23.44	10.13	4.77	0.6	1.55	1.98	0.34
2009	1	Смоленская область	1.53	13.02	0.31	58.99	7.73	25.97	1.93	1.73	1.63	1.73
2009	1	Тамбовская область	4.85	4.07	0.18	41.68	21.25	1.47	0.54	0.9	0.99	0.36
2009	1	Тверская область	0.34	12.54	0.14	83.8	10.0	9.65	2.39	1.16	3.84	0.94
2009	1	Тульская область	1.32	6.64	0.51	23.75	8.49	0.81	1.47	1.02	3.45	0.38
2009	1	Ярославская область	0.71	17.19	0.46	66.24	9.73	5.03	2.36	0.68	2.81	0.3
2009	1	ЮЖНЫЙ ФО	1.19	5.53	0.21	34.19	13.93	7.34	1.21	0.74	1.53	0.38
2009	1	Астраханская область	3.27	13.49	0.4	51.46	15.59	18.07	2.7	1.2	2.2	1.0
2009	1	Волгоградская область	2.08	9.47	0.34	47.61	14.68	15.68	2.34	1.15	2.41	0.5
2009	1	Краснодарский край	0.98	3.57	0.2	30.81	18.82	5.0	0.61	0.39	1.48	0.21
2009	1	Республика Адыгея (Адыгея)	0.0	4.08	0.0	23.8	7.71	4.91	0.91	0.91	1.59	0.0
2009	1	Республика Калмыкия	1.33	4.2	0.0	30.12	27.32	7.98	1.4	3.15	4.2	0.7
2009	1	Ростовская область	1.9	8.58	0.21	58.88	14.39	11.04	1.79	0.99	2.0	0.42
2009	1	СЕВЕРО-ЗАПАДНЫЙ ФО	0.88	13.53	0.21	58.17	11.23	6.84	1.67	1.17	2.31	0.68
2009	1	Архангельская область	0.19	11.16	0.31	67.46	14.23	8.35	1.73	1.18	2.91	0.79
2009	1	Вологодская область	1.55	14.31	0.49	64.93	9.32	10.97	2.29	1.31	3.19	2.04
2009	1	Город Санкт-Петербург город федерального значения	0.82	16.48	0.09	43.61	13.46	1.27	1.86	1.14	1.18	0.42
2009	1	Калининградская область	1.63	11.52	0.32	73.39	13.55	28.67	1.49	0.75	2.03	0.53
2009	1	Ленинградская область	0.35	11.63	0.37	67.77	4.71	10.43	2.51	0.92	2.45	0.43
2009	1	Мурманская область	1.53	11.05	0.0	63.93	12.93	3.89	0.94	0.71	3.29	0.12
2009	1	Новгородская область	1.44	9.96	0.31	61.46	5.82	4.66	1.84	2.45	1.69	1.07
2009	1	Псковская область	0.99	8.79	0.0	54.45	8.51	1.49	0.43	1.7	1.84	0.28
2009	1	Республика Карелия	0.34	10.42	0.0	63.71	13.9	7.7	0.58	1.3	3.33	0.14
2009	1	Республика Коми	0.75	17.15	0.41	66.62	10.12	6.87	0.93	1.03	4.96	1.55
2009	1	ДАЛЬНЕВОСТОЧНЫЙ ФО	0.39	17.19	0.25	79.64	16.82	7.07	1.56	1.56	5.09	0.43
2009	1	Амурская область	0.14	13.22	0.34	68.88	25.64	0.7	0.69	2.18	5.52	0.23
2009	1	Еврейская автономная область	1.31	10.24	0.0	58.75	19.94	6.57	1.08	1.08	8.62	0.0
2009	1	Камчатская область	0.35	4.05	0.58	34.14	8.1	16.64	0.87	0.58	3.76	0.0
2009	1	Магаданская область	0.0	10.86	0.6	67.54	28.34	2.9	0.0	1.21	6.03	0.0
2009	1	Приморский край	0.18	20.49	0.25	96.65	18.99	3.38	2.41	1.65	4.01	0.75
2009	1	Республика Саха (Якутия)	0.0	18.6	0.0	53.6	5.36	7.68	1.58	1.68	7.67	0.74
2009	1	Сахалинская область	0.69	13.89	0.19	84.28	24.3	2.54	1.35	2.12	5.59	0.58
2009	1	Хабаровский край	0.85	20.66	0.28	94.89	13.75	15.82	1.42	1.14	3.85	0.07
2009	1	Чукотский автономный округ	2.54	1.99	0.0	39.79	13.93	2.54	0.0	0.0	13.93	0.0
2009	1	СИБИРСКИЙ ФО	0.85	18.74	0.29	74.66	18.75	7.12	2.22	1.69	5.26	0.42
2009	1	Алтайский край	1.28	14.15	0.2	68.93	16.34	4.45	0.6	1.32	3.87	0.08
2009	1	Иркутская область	0.24	30.91	0.24	74.61	14.52	1.37	3.23	2.03	7.9	0.88
2009	1	Кемеровская область	0.42	28.83	0.25	75.79	13.81	2.24	3.44	1.81	6.34	0.11
2009	1	Красноярский край	1.08	14.01	0.28	81.55	28.68	8.86	2.46	1.59	4.36	0.35
2009	1	Новосибирская область	1.16	17.72	0.27	72.39	20.94	16.91	2.66	1.18	3.53	0.68
2009	1	Омская область	1.12	8.42	0.2	53.82	20.91	5.91	1.29	1.29	2.68	0.5
2009	1	Республика Алтай	1.9	14.97	0.0	67.59	17.38	1.9	1.45	1.93	6.76	0.48
2009	1	Республика Бурятия	0.52	20.52	0.1	103.34	20.0	6.66	1.46	2.4	7.29	1.25
2009	1	Республика Тыва	0.45	8.02	1.93	29.2	26.96	4.5	2.25	2.89	14.12	0.32
2009	1	Республика Хакасия	0.45	10.61	0.93	87.11	11.91	2.26	0.93	1.86	2.98	0.19
2009	1	Томская область	1.38	20.97	0.39	92.08	15.65	5.16	0.68	1.16	3.48	0.1
2009	1	Читинская область	-	-	-	-	-	-	-	-	-	-
2009	1	УРАЛЬСКИЙ ФО	0.73	16.85	0.25	67.68	12.84	8.57	1.7	1.27	3.64	0.92
2009	1	Курганская область	0.25	9.06	0.31	55.81	11.35	11.67	0.31	1.46	2.92	2.6
2009	1	Свердловская область	0.7	19.86	0.27	73.62	10.03	10.98	2.02	1.34	3.53	0.71
2009	1	Тюменская область	1.13	15.03	0.15	66.7	19.57	6.65	1.22	1.16	3.85	1.13
2009	1	Челябинская область	0.54	16.98	0.28	64.43	10.31	6.47	2.14	1.22	3.76	0.54
2009	1	ПРИВОЛЖСКИЙ ФО	1.16	14.47	0.25	58.06	12.74	8.23	1.35	1.06	2.73	0.51
2009	1	Кировская область	1.49	8.07	0.07	46.77	7.36	5.06	1.34	1.63	2.12	0.21
2009	1	Нижегородская область	0.56	21.85	0.18	74.08	7.53	10.34	1.4	1.13	2.65	0.27
2009	1	Оренбургская область	1.08	9.58	0.28	48.75	12.84	8.47	0.8	1.79	3.54	0.28
