_id,name
51c800cc56a396e794000084,Гражданин Российской Федерации
51c800cc56a396e794000086,Иностранный гражданин
51c800cc56a396e794000087,Лицо без гражданства
51c800cc56a396e79400007e,Сотрудник органов внутренних дел
51c800cc56a396e79400007f,Бывший сотрудник органов внутренних дел
51c800cc56a396e794000080,Пенсионер органов внутренних дел
51c800cc56a396e794000081,Член семьи сотрудника органов внутренних дел
51c800cc56a396e794000082,Ветеран Великой Отечественной войны
51c800cc56a396e794000082,Участник Великой Отечественной войны
51c800cc56a396e794000083,Военнослужащий
51c800cc56a396e794000089,Коллективное
51c800cc56a396e79400008a,Подследственный
51c800cc56a396e79400008b,Осужденный
51c800cc56a396e79400008c,Условно осужденный
51c800cc56a396e79400008d,Родственник осужденного
51c800cc56a396e79400008e,Условно-досрочно освобожденный
51c800cc56a396e79400008f,Законный представитель
51c800cc56a396e794000088,Юридическое лицо
