person_id	person	income	ptype	name	transport_raw	country	prop_plot	prop_type	psize
ccf8c7459133118cd8e04e92d7354c60	Айнбындер М.Я.	741414.45	_himself	Айнбындер М.Я.	Ваз 21093	Россия		Земельный участок	1044
ccf8c7459133118cd8e04e92d7354c60	Айнбындер М.Я.	741414.45	_himself	Айнбындер М.Я.	Ваз 21093	Россия		Дом	37
ccf8c7459133118cd8e04e92d7354c60	Айнбындер М.Я.	741414.45	_himself	Айнбындер М.Я.	Ваз 21093	Россия		Квартира	72.1
ccf8c7459133118cd8e04e92d7354c60	Айнбындер М.Я.	741414.45	_himself	Айнбындер М.Я.	Ваз 21093	Россия		Квартира	None
ccf8c7459133118cd8e04e92d7354c60	Айнбындер М.Я.	397623.64	wife	супруга	СУЗУКИ ЭСКУДО	Россия		Квартира	38.7
af6c35becad1c2694bd4568447080ae7	Антоненко А.С.	552249.39	_himself	Антоненко А.С.	Хундай тусан	Россия		Квартира	161
af6c35becad1c2694bd4568447080ae7	Антоненко А.С.	552249.39	_himself	Антоненко А.С.	Хундай тусан	Россия		Квартира	45.4
af6c35becad1c2694bd4568447080ae7	Антоненко А.С.	552249.39	_himself	Антоненко А.С.	Хундай тусан	Россия		гараж	32.7
af6c35becad1c2694bd4568447080ae7	Антоненко А.С.	306486.01	wife	супруга		Россия		квартира	50.6
124cbea79400571e10af2ff10247fa2b	Алюбердиев Р.Х.	850213.75	_himself	Алюбердиев Р.Х.	Хонда седан	Россия		Участок	114
124cbea79400571e10af2ff10247fa2b	Алюбердиев Р.Х.	850213.75	_himself	Алюбердиев Р.Х.	Хонда седан	Россия		Дом	162.8
fa97dc97afa0b4e7cba834e3a3512505	Анищенко В.М.	1606867.17	_himself	Анищенко В.М.	Тойота королла	Россия		квартиры	None
fa97dc97afa0b4e7cba834e3a3512505	Анищенко В.М.	1606867.17	_himself	Анищенко В.М.	Тойота королла	Россия		Участок (аренда)	1728
fa97dc97afa0b4e7cba834e3a3512505	Анищенко В.М.	48000	wife	супруга		Россия		Квартиры	None
fa97dc97afa0b4e7cba834e3a3512505	Анищенко В.М.	48000	wife	супруга		Россия		Квартира	45
4b29c47a831f43229c042a6cc06fa319	Афашагов М.Х.	908760.72	_himself	Афашагов М.Х.		Россия		Дом	72.6
bc4347b602489c6edd6906c9897f1fc7	Анохин Ю.В.	1004539.6	_himself	Анохин Ю.В.	Автомобиль Хюндай Санта-Фе	Россия		Квартира	None
bc4347b602489c6edd6906c9897f1fc7	Анохин Ю.В.	1004539.6	_himself	Анохин Ю.В.	Автомобиль Хюндай Санта-Фе	Россия		Квартира	None
bc4347b602489c6edd6906c9897f1fc7	Анохин Ю.В.	760208.77	wife	супруга		Россия		Квартира	None
bc4347b602489c6edd6906c9897f1fc7	Анохин Ю.В.	760208.77	wife	супруга		Россия		Квартира	None
7deb63456a849a04f8812f4aae0eb874	Агаропева Н.И.	1059698.38	_himself	Агаропева Н.И.		Россия		Квартира	53.7
7deb63456a849a04f8812f4aae0eb874	Агаропева Н.И.	1059698.38	_himself	Агаропева Н.И.		Россия		Квартира	None
7deb63456a849a04f8812f4aae0eb874	Агаропева Н.И.	1059698.38	_himself	Агаропева Н.И.		Россия		Квартира (найм на время службы)	97.3
4e8b418e2758a445219ba485820c5a2d	Алуев О.А.	1030173.35	_himself	Алуев О.А.		Россия		Квартира	81.3
8fa4455bf52a6668f294e128d353b9bd	Абрамов А.П.	787556.95	_himself	Абрамов А.П.		Россия		Индивидуальное жилое строение	0.146
8fa4455bf52a6668f294e128d353b9bd	Абрамов А.П.	787556.95	_himself	Абрамов А.П.		Россия		Приусадебный участок	0.1506
8fa4455bf52a6668f294e128d353b9bd	Абрамов А.П.	787556.95	_himself	Абрамов А.П.		Россия		Индивидуальный жилой дом	97.7
8fa4455bf52a6668f294e128d353b9bd	Абрамов А.П.	787556.95	_himself	Абрамов А.П.		Россия		Квартира (индивидуальная)	58.5
8fa4455bf52a6668f294e128d353b9bd	Абрамов А.П.	787556.95	_himself	Абрамов А.П.		Россия		Гараж (индивидуальный)	34.9
8fa4455bf52a6668f294e128d353b9bd	Абрамов А.П.	None	wife	супруга	Легковой автомобиль Тойота RAV-4	Россия		Квартира (индивидуальная)	99.9
8fa4455bf52a6668f294e128d353b9bd	Абрамов А.П.	None	wife	супруга	Легковой автомобиль Тойота RAV-4	Россия		Квартира (индивидуальная)	75.2
8fa4455bf52a6668f294e128d353b9bd	Абрамов А.П.	None	wife	супруга	Легковой автомобиль Тойота RAV-4	Россия		Гараж (индивидуальный)	17.6
1b8e409cdaaa22fa8101edb540aa95df	Абрамов А.Ю.	490237.32	wife	супруга		Россия		Квартира	35
b408597ec8312d1ed35c80c28526d8a7	Алькаев В.П.	1025826	_himself	Алькаев В.П.		None		Земельный участок	1006
b408597ec8312d1ed35c80c28526d8a7	Алькаев В.П.	1025826	_himself	Алькаев В.П.		None		Садовый участок	1570
b408597ec8312d1ed35c80c28526d8a7	Алькаев В.П.	1025826	_himself	Алькаев В.П.		None		Квартира	None
b408597ec8312d1ed35c80c28526d8a7	Алькаев В.П.	1025826	_himself	Алькаев В.П.		None		гараж	17.5
9e1dfd4f11b75ca4693d1ca9385c9bff	Андреев А.А.	1182814.22	_himself	Андреев А.А.		Россия		Земельный участок	1200
9e1dfd4f11b75ca4693d1ca9385c9bff	Андреев А.А.	1182814.22	_himself	Андреев А.А.		Россия		Дом	155.2
9e1dfd4f11b75ca4693d1ca9385c9bff	Андреев А.А.	1182814.22	_himself	Андреев А.А.		Россия		Квартира	129.8
bd27070d013bd867df400c52ef10d663	Афанасьев С.Г.	955173.44	_himself	Афанасьев С.Г.	Автомобиль «Мицубиси»	Россия		Квартира	26
bd27070d013bd867df400c52ef10d663	Афанасьев С.Г.	600154	wife	супруга		Россия		Квартира	26
fac5a0bd2ae7ae27dc5c2e39ab818372	Абдулкушмов М.М.	1244603.63	_himself	Абдулкушмов М.М.		Россия		Земельный участок	600
fac5a0bd2ae7ae27dc5c2e39ab818372	Абдулкушмов М.М.	1244603.63	_himself	Абдулкушмов М.М.		Россия		Квартира	78
052911cac7631dab63d0a59151712aed	Алютин О.В.	542611.8	_himself	Алютин О.В.	Сузуки витара	Россия		Квартира	None
