Мнемоника сервиса;Версия сервиса;Узел;Идентификатор;Регион;Владелец;Краткое наименование;Наименование;Доступность сервиса;Режим работы;Область применения;Версия МР
MVD0carservice1;2.44;Федеральный уровень;SID0003611;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Сведения о регистрационных действиях;Электронный сервис получения сведений о регистрационных действиях транспортных средств и их владельцах. ;Ограниченно доступный;Асинхронный;Межведомственное взаимодействие;2.4.x
MVDRSvedeniyaObUtrachennomDokumente;2.44;Федеральный уровень;SID0003596;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Сведения об утраченном документе;Сведения об утраченном документе;;Асинхронный;Межведомственное взаимодействие;2.4.x
MVD0AdministrativnieNarushenia;2.44;Федеральный уровень;SID0003546;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Предоставление сведений об административных правонарушениях в области дорожного движения;Предоставление сведений об административных правонарушениях в области дорожного движения;Ограниченно доступный;Синхронный / Асинхронный;Приём заявлений с ЕПГУ / Межведомственное взаимодействие;2.4.x
MVD0EPGU;2.44;Федеральный уровень;SID0003538;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Сервис взаимодействия с ЕПГУ;Сервис приема заявлений по всем государственным услугам МВД России, переводимым в электронный вид;ЕПГУ;Синхронный;Приём заявлений с ЕПГУ;2.4.x
MVD0Reabilitacia;2.44;Федеральный уровень;SID0003537;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Сведения о реабилитации;Сведения о реабилитации;Ограниченно доступный;Асинхронный;Межведомственное взаимодействие;2.4.x
MVD0OVD;2.44;Федеральный уровень;SID0003536;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Сведения о службе в ОВД;Сведения о службе в ОВД;Ограниченно доступный;Асинхронный;Межведомственное взаимодействие;2.4.x
2534Сведения о получении, назначении, неполучении пенсии и о прекращении выплат;1.00;Федеральный уровень;SID0003457;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Сведения о получении, назначении, неполучении пенсии и о прекращении выплат;Сведения о получении, назначении, неполучении пенсии и о прекращении выплат;Ограниченно доступный;Асинхронный;Межведомственное взаимодействие;2.4.x
2533Сведения о наличии (отсутствии) судимости и (или) факта уголовного преследования либо о прекращении уголовного преследования, о нахождении в розыске;1.00;Федеральный уровень;SID0003456;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Сведения о наличии (отсутствии) судимости и (или) факта уголовного преследования либо о прекращении уголовного преследования, о нахождении в розыске;Сведения о наличии (отсутствии) судимости и (или) факта уголовного преследования либо о прекращении уголовного преследования, о нахождении в розыске;Ограниченно доступный;Асинхронный;Межведомственное взаимодействие;2.4.x
265Сведения о наличии (отсутствии) судимости, о нахождении в розыске и административных правонарушениях;1.00;Федеральный уровень;SID0003178;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);"""Сведения о наличии (отсутствии) судимости, о нахождении в розыске и административных правонарушениях""";"""Сведения о наличии (отсутствии) судимости, о нахождении в розыске и административных правонарушениях""";Ограниченно доступный;Асинхронный;Межведомственное взаимодействие;2.4.x
264Сведения об утраченном документе;1.00;Федеральный уровень;SID0003177;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Сведения об утраченном документе;Сведения об утраченном документе;Ограниченно доступный;Асинхронный;Межведомственное взаимодействие;
263Сведения о выданных, продленных, переоформленных лицензиях на торговлю оружием и основными частями огнестрельного оружия, частную охранную и детективную деятельность и о выданных разрешениях на ввоз в РФ и вывоз из РФ оружия и патронов к нему;1.00;Федеральный уровень;SID0003176;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Сведения о выданных, продленных, переоформленных лицензиях на торговлю оружием и основными частями огнестрельного оружия, частную охранную и детективную деятельность и о выданных разрешениях на ввоз в РФ и вывоз из РФ оружия и патронов к нему;Сведения о выданных, продленных, переоформленных лицензиях на торговлю оружием и основными частями огнестрельного оружия, частную охранную и детективную деятельность и о выданных разрешениях на ввоз в РФ и вывоз из РФ оружия и патронов к нему;Ограниченно доступный;Асинхронный;Межведомственное взаимодействие;
14Платежные документы;1.00;Федеральный уровень;SID0003137;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Платежные документы;Электронный сервис для получения шаблона платежных документов.;ЕПГУ;Синхронный;Приём заявлений с ЕПГУ;
3Ядро;1.00;Федеральный уровень;SID0003135;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Ядро;Электронный сервис предоставления основной информации ;ЕПГУ;Синхронный;Приём заявлений с ЕПГУ;
2Предварительная запись;1.00;Федеральный уровень;SID0003134;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Предварительная запись;Электронный сервис обработки предварительной записи;ЕПГУ;Синхронный;Приём заявлений с ЕПГУ;
1Обработка заявок;1.00;Федеральный уровень;SID0003133;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);Обработка заявок;Электронный сервис обработки заявок ;ЕПГУ;Синхронный;Приём заявлений с ЕПГУ;
17МВД: Заявка на лицензию на торговлю оружием;1.00;Федеральный уровень;SID0003067;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);МВД: Заявка на лицензию на торговлю оружием;МВД: Заявка на лицензию на торговлю оружием;;Синхронный;Приём заявлений с ЕПГУ;
13ГИБДД Прием анкет на оказание услуги, версия 2;1.00;Федеральный уровень;SID0003054;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);ГИБДД Прием анкет на оказание услуги, версия 2;ГИБДД Прием анкет на оказание услуги, версия 2;;Синхронный;Приём заявлений с ЕПГУ;
12ГИБДД Предварительная запись на ТО, версия 2;1.00;Федеральный уровень;SID0003053;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);ГИБДД Предварительная запись на ТО, версия 2;ГИБДД Предварительная запись на ТО, версия 2;;Синхронный;Приём заявлений с ЕПГУ;
11ГИБДД Предоставление системных справочников, версия 2;1.00;Федеральный уровень;SID0003052;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);ГИБДД Предоставление системных справочников, версия 2;ГИБДД Предоставление системных справочников, версия 2;;Синхронный;Приём заявлений с ЕПГУ;
10ГИБДД Прием анкет на оказание услуги, версия 1;1.00;Федеральный уровень;SID0003041;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);ГИБДД Прием анкет на оказание услуги, версия 1;ГИБДД Прием анкет на оказание услуги, версия 1;;Синхронный;Приём заявлений с ЕПГУ;
9ГИБДД Предварительная запись на ТО, версия 1;1.00;Федеральный уровень;SID0003040;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);ГИБДД Предварительная запись на ТО, версия 1;ГИБДД Предварительная запись на ТО, версия 1;;Синхронный;Приём заявлений с ЕПГУ;
8ГИБДД Предоставление системных справочников, версия 1;1.00;Федеральный уровень;SID0003039;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);ГИБДД Предоставление системных справочников, версия 1;ГИБДД Предоставление системных справочников, версия 1;;Синхронный;Приём заявлений с ЕПГУ;
7ГИБДД Отмена заявки;1.00;Федеральный уровень;SID0003033;Федеральный уровень;Министерство внутренних дел Российской Федерации (МВД);ГИБДД Отмена заявки;ГИБДД Отмена заявки;;Синхронный;Приём заявлений с ЕПГУ;
